Project Name:,Contract Type:,Contract Method:,Community:,Originating Department:,Awarded To:,Award Date:,Award Value:
Specialized Residential Care Treatment,Consulting,Public Request for Proposals,Rankin Inlet,Family Services,Bairn Croft Residential Services Inc.,01 April 2016,"$195,905.70"
Specialized Residential Care Treatment,Consulting,Public Request for Proposals,Coral Harbour,Family Services,I Have a Chance Support Services Ltd.,01 April 2016,"$196,145.52"
Specialized Residential Care Treatment,Consulting,Public Request for Proposals,Rankin Inlet,Family Services,I Have a Chance Support Services Ltd.,01 April 2016,"$196,145.52"
Specialized Residential Care Treatment,Consulting,Public Request for Proposals,Baker Lake,Family Services,I Have a Chance Support Services Ltd.,01 April 2016,"$196,145.52"
Specialized Residential Care Treatment,Consulting,Public Request for Proposals,Sanikiluaq,Family Services,I Have a Chance Support Services Ltd.,01 April 2016,"$196,150.60"
Residential Care,Consulting,Public Request for Proposals,Cambridge Bay,Family Services,I Have a Chance Support Services Ltd.,01 April 2016,"$196,150.60"
Residential Care,Consulting,Public Request for Proposals,Kugluktuk,Family Services,I Have a Chance Support Services Ltd.,01 April 2016,"$196,150.60"
Residential Care,Consulting,Public Request for Proposals,Rankin Inlet,Family Services,Bairn Croft Residential Services Inc.,01 April 2015,"$196,287.00"
Residential Care,Consulting,Public Request for Proposals,Rankin Inlet,Family Services,Bairn Croft Residential Services Inc.,01 April 2015,"$196,287.00"
Residential Care,Service Contract,Public Request for Proposals,Rankin Inlet,Family Services,Bairn Croft Residential Services Inc.,01 April 2014,"$196,506.00"
Residential Care,Service Contract,Public Request for Proposals,Rankin Inlet,Family Services,Bairn Croft Residential Services Inc.,01 April 2014,"$196,506.00"
Specialized Residential Care Treatment,Consulting,Public Request for Proposals,Arviat,Family Services,5788847 MB Inc. o/a Gloria's Place,01 April 2016,"$197,100.00"
Specialized Residential Care Treatment,Consulting,Public Request for Proposals,Sanikiluaq,Family Services,5788847 MB Inc. o/a Gloria's Place,01 April 2016,"$197,100.00"
Residential Care,Consulting,Public Request for Proposals,Rankin Inlet,Family Services,Bairn Croft Residential Services Inc.,01 April 2015,"$197,527.00"
Specialized Residential Care,Service Contract,Public Request for Proposals,Gjoa Haven,Family Services,Protegra Inc.,01 April 2013,"$197,992.00"
Residential Care,Service Contract,Sole Source,Sanikiluaq,Family Services,5788847 MB Inc. o/a Gloria's Place,01 April 2015,"$198,110.00"
Residential Care,Service Contract,Sole Source,Arviat,Family Services,5788847 MB Inc. o/a Gloria's Place,01 April 2015,"$198,110.00"
Residential Care,Service Contract,Public Request for Proposals,Rankin Inlet,Family Services,Protegra Inc.,01 April 2014,"$198,549.00"
Residential Care,Service Contract,Public Request for Proposals,Gjoa Haven,Family Services,Quest Support Services Inc.,01 April 2020,"$198,560.55"
Residential Care,Service Contract,Sole Source,Naujaat,Family Services,Ranch Ehrlo Society,01 April 2015,"$198,955.00"
Residential Care,Consulting,Public Request for Proposals,Pond Inlet,Family Services,I Have A Chance Support Services Ltd.,01 April 2017,"$199,391.60"
Residential Care,Consulting,Public Request for Proposals,Pond Inlet,Family Services,I Have A Chance Support Services Ltd.,01 April 2017,"$199,391.60"
Residential Care,Consulting,Public Request for Proposals,Cambridge Bay,Family Services,I Have A Chance Support Services Ltd.,01 April 2017,"$199,391.60"
Residential Care,Consulting,Sole Source,Kugluktuk,Family Services,I Have a Chance Support Services Ltd.,01 April 2018,"$199,391.60"
Residential Care,Consulting,Sole Source,Cambridge Bay,Family Services,I Have a Chance Support Services Ltd.,01 April 2018,"$199,391.60"
Residential Care,Consulting,Public Request for Proposals,Kitikmeot Region,Family Services,Options Youth (Ontario) Inc.,01 April 2019,"$199,649.00"
Residential Care,Service Contract,Sole Source,Sanirajak,Family Services,Options Youth Ontario Inc.,01 April 2020,"$200,096.00"
Residential Care,Service Contract,Sole Source,Iqaluit,Family Services,Ranch Ehrlo Society,03 April 2015,"$200,910.00"
Residential Care,Service Contract,Sole Source,Qikiqtarjuaq,Family Services,Independent Counselling Enterprises Inc.,01 April 2015,"$200,986.00"
Residential Care,Service Contract,Public Request for Proposals,Sanikiluaq,Family Services,March of Dimes Canada,01 April 2020,"$201,505.00"
Residential Care,Service Contract,Public Request for Proposals,Iqaluit,Family Services,Ranch Ehrlo Society,01 April 2014,"$204,898.00"
Residential Care,Consulting,Public Request for Proposals,Sanikiluaq,Family Services,5788847 Manitoba Inc.,01 April 2019,"$204,960.00"
Specialized Residential Care Treatment,Consulting,Public Request for Proposals,Coral Harbour,Family Services,Ranch Ehrlo Society,01 April 2016,"$205,450.00"
Specialized Residential Care Treatment,Consulting,Public Request for Proposals,Coral Harbour,Family Services,Ranch Ehrlo Society,01 April 2016,"$205,450.00"
Specialized Programming and Treatment,Consulting,Public Request for Proposals,Iqaluit,Family Services,Ranch Ehrlo Society,01 April 2016,"$205,450.00"
Specialized Programming and Treatment,Consulting,Public Request for Proposals,Iqaluit,Family Services,Ranch Ehrlo Society,01 April 2016,"$205,450.00"
Specialized Programming and Treatment,Consulting,Public Request for Proposals,Iqaluit,Family Services,Ranch Ehrlo Society,01 April 2016,"$205,450.00"
Residential Care,Consulting,Public Request for Proposals,Kugluktuk,Family Services,Ranch Ehrlo Society,01 April 2016,"$205,450.00"
Residential Care,Service Contract,Public Request for Proposals,Gjoa Haven,Family Services,Parkland Community Living & Support Services,01 April 2014,"$205,860.00"
Residential Care,Service Contract,Public Request for Proposals,Kugluktuk,Family Services,I Have A Chance Support Services Ltd.,01 April 2020,"$206,224.30"
Residential Care,Service Contract,Public Request for Proposals,Pond Inlet,Family Services,I Have A Chance Support Services Ltd.,01 April 2020,"$206,294.30"
Residential Care,Service Contract,Public Request for Proposals,Sanikiluaq,Family Services,I Have A Chance Support Services Ltd.,01 April 2020,"$206,294.30"
Residential Care,Service Contract,Sole Source,Iqaluit,Family Services,Ranch Ehrlo Society,01 April 2015,"$206,832.00"
Residential Care,Consulting,Public Request for Proposals,Kinngait,Family Services,Bairn Croft Residential Services Inc.,01 April 2015,"$206,858.00"
Residential Care,Consulting,Public Request for Proposals,Iqaluit,Family Services,Options Youth (Ontario) Inc.,01 April 2017,"$207,389.80"
Residential Care,Service Contract,Sole Source,Kugluktuk,Family Services,I Have a Chance Support Services Ltd.,01 April 2019,"$207,906.12"
Residential Care,Service Contract,Sole Source,Sanikiluaq,Family Services,I Have a Chance Support Services Ltd.,20 March 2019,"$207,976.12"
Residential Care,Service Contract,Sole Source,Gjoa Haven,Family Services,Bayfield Treatment Centres,01 April 2019,"$208,616.34"
Residential Care,Service Contract,Sole Source,Rankin Inlet,Family Services,Deanne Perry,01 April 2020,"$209,406.00"
Residential Care,Consulting,Extension,Southern Canada,Family Services,March of Dimes Canada,01 November 2019,"$209,630.00"
Residential Care,Service Contract,Sole Source,Rankin Inlet,Family Services,Deanne Perry,29 March 2019,"$209,838.00"
Residential Care,Service Contract,Sole Source,Sanikiluaq,Family Services,Broken Arrow Residential Treatment Services,01 April 2015,"$210,000.00"
Residential Care,Service Contract,Sole Source,Sanikiluaq,Family Services,Protegra Inc.,01 April 2015,"$210,245.00"
Residential Care,Service Contract,Public Request for Proposals,Gjoa Haven,Family Services,Ever Bright Complex Needs Support Services,01 April 2020,"$210,287.10"
Residential Care,Service Contract,Sole Source,Rankin Inlet,Family Services,Deanne Perry,01 April 2018,"$210,406.00"
Specialized Residential Care Treatment,Consulting,Sole Source,Sanikiluaq,Family Services,Protegra Inc.,01 April 2016,"$210,419.95"
Residential Care,Service Contract,Public Request for Proposals,Sanikiluaq,Family Services,Protegra Inc.,01 April 2014,"$210,650.00"
Residential Care,Service Contract,Sole Source,Coral Harbour,Family Services,I Have a Chance Support Services Ltd.,01 April 2015,"$210,780.00"
Residential Services,Service Contract,Sole Source,Arviat,Family Services,I Have a Chance Support Services Ltd.,01 April 2015,"$210,780.00"
Family Care Provider,Consulting,Sole Source,Rankin Inlet,Family Services,Deanne Perry,01 April 2017,"$210,846.00"
Ford Escape,Purchase Order,Public Request for Proposals,Nunavut Territory,Family Services,Ikpiaryuk Services Ltd.,25 April 2016,"$211,526.00"
Specialized Residential Care,Consulting,Public Request for Proposals,Coral Harbour,Family Services,Ranch Ehrlo Society,01 April 2017,"$212,002.00"
Residential Care,Consulting,Public Request for Proposals,Cambridge Bay,Family Services,Ranch Ehrlo Society,01 April 2017,"$212,002.00"
Guided Reading Material,Service Contract,Public Request for Proposals,Nunavut Territory,Family Services,Inhabit Education Inc.,30 May 2019,"$212,080.00"
Residential Care,Service Contract,Sole Source,Rankin Inlet,Family Services,Deanna Perry,01 April 2015,"$212,208.00"
Family Care Provider,Consulting,Sole Source,Rankin Inlet,Family Services,Deanne Perry,01 April 2016,"$212,551.00"
Residential Care,Service Contract,Sole Source,Arctic Bay,Family Services,Sinclair Children's Residence,01 April 2020,"$213,901.50"
Specialized Residential Care Treatment,Consulting,Public Request for Proposals,Arviat,Family Services,I Have a Chance Support Services Ltd.,01 April 2016,"$215,391.45"
Specialized Residential Care Treatment,Consulting,Public Request for Proposals,Coral Harbour,Family Services,I Have a Chance Support Services Ltd.,01 April 2016,"$215,391.45"
Specialized Residential Care Treatment,Consulting,Public Request for Proposals,Baker Lake,Family Services,I Have a Chance Support Services Ltd.,01 April 2016,"$215,698.44"
Residential Care,Consulting,Public Request for Proposals,Kugluktuk,Family Services,Bairn Croft Residential Services Inc.,01 April 2017,"$216,191.70"
Specialized Residential Care,Service Contract,Extension,Kugluktuk,Family Services,Country Haven Acres,01 April 2013,"$216,319.00"
Residential Care,Service Contract,Public Request for Proposals,Kugluktuk,Family Services,Protegra Inc.,01 April 2014,"$216,338.00"
Residential Care,Service Contract,Sole Source,Kugluktuk,Family Services,Protegra Inc.,01 April 2015,"$216,885.00"
Residential Care,Service Contract,Public Request for Proposals,Iqaluit,Family Services,March of Dimes Canada,01 April 2020,"$217,170.00"
Residential Care,Service Contract,Public Request for Proposals,Gjoa Haven,Family Services,March of Dimes Canada,01 April 2020,"$217,240.00"
Residential Care,Consulting,Public Request for Proposals,Pangnirtung,Family Services,Bairn Croft Residential Services Inc.,01 April 2016,"$218,248.90"
Residential Care,Consulting,Sole Source,Kugluktuk,Family Services,Protegra Inc.,01 April 2016,"$218,945.90"
Residential Care,Service Contract,Sole Source,Gjoa Haven,Family Services,Protegra Inc.,01 April 2015,"$220,030.00"
Residential Care,Service Contract,Public Request for Proposals,Gjoa Haven,Family Services,Protegra Inc.,01 April 2014,"$220,456.00"
Residential Care,Consulting,Sole Source,Cambridge Bay,Family Services,YWCA Edmonton,01 April 2017,"$220,504.28"
Residential Care,Service Contract,Sole Source,Cambridge Bay,Family Services,YWCA Edmonton,01 April 2018,"$220,504.35"
Specialized Residential Care,Service Contract,Extension,Rankin Inlet,Family Services,Protegra Inc.,01 April 2013,"$221,249.00"
Residential Care,Service Contract,Public Request for Proposals,Sanikiluaq,Family Services,I Have A Chance Support Services Ltd.,01 April 2020,"$221,766.65"
Specialized Residential Care,Service Contract,Extension,Iqaluit,Family Services,Protegra Inc.,01 April 2013,"$222,428.00"
Residential Care,Consulting,Public Request for Proposals,Kugluktuk,Family Services,Bairn Croft Residential Services Inc.,01 April 2016,"$222,640.30"
Specialized Residential Care,Service Contract,Extension,Gjoa Haven,Family Services,Protegra Inc.,01 April 2013,"$223,448.00"
Residential Care,Service Contract,Sole Source,Cambridge Bay,Family Services,I Have a Chance Support Services Ltd.,01 April 2019,"$223,490.86"
Residential Care,Consulting,Public Request for Proposals,Pangnirtung,Family Services,Bairn Croft Residential Services Inc.,29 March 2019,"$223,665.48"
Residential Care,Service Contract,Sole Source,Pangnirtung,Family Services,Bairn Croft Residential Services Inc.,01 April 2020,"$223,668.90"
Specialized Residential Care,Service Contract,Extension,Kugaaruk,Family Services,Protegra Inc.,01 April 2013,"$224,375.00"
Residential Care,Consulting,Sole Source,Gjoa Haven,Family Services,Protegra Inc.,01 April 2016,"$225,248.11"
Residential Care,Service Contract,Public Request for Proposals,Kugluktuk,Family Services,March of Dimes Canada,01 April 2020,"$225,270.00"
Residential Care,Service Contract,Public Request for Proposals,Arviat,Family Services,I Have A Chance Support Services Ltd.,01 April 2020,"$225,721.80"
Residential Care,Service Contract,Public Request for Proposals,Arviat,Family Services,I Have A Chance Support Services Ltd.,01 April 2020,"$225,818.15"
Residential Care,Service Contract,Public Request for Proposals,Baker Lake,Family Services,I Have A Chance Support Services Ltd.,01 April 2020,"$225,818.15"
Residential Care,Service Contract,Sole Source,Coral Harbour,Family Services,Bairn Croft Residential Services Inc.,01 April 2020,"$227,293.30"
Parent & Community Engagement Training,Purchase Order,Sole Source,Clyde River,Family Services,Ilisaqsivik Society,22 September 2016,"$227,311.00"
Residential Care,Service Contract,Sole Source,Arviat,Family Services,I Have a Chance Support Services Ltd.,29 March 2019,"$227,457.12"
Residential Care,Service Contract,Public Request for Proposals,Gjoa Haven,Family Services,Parkland Community Living and Support Service,10 July 2014,"$227,523.00"
Specialized Residential Care,Service Contract,Extension,Arviat,Family Services,Protegra Inc.,01 April 2013,"$227,527.00"
Residential Care,Service Contract,Sole Source,Baker Lake,Family Services,I Have a Chance Support Services Ltd.,20 March 2019,"$227,553.46"
Residential Care,Service Contract,Sole Source,Arviat,Family Services,I Have a Chance Support Services Ltd.,20 March 2019,"$227,553.46"
Residential Care,Service Contract,Public Request for Proposals,Kugaaruk,Family Services,Protegra Inc.,01 April 2014,"$227,626.00"
Specialized Residential Care,Service Contract,Extension,Rankin Inlet,Family Services,Protegra Inc.,01 April 2013,"$227,983.00"
Residential Care,Service Contract,Sole Source,Kugaaruk,Family Services,Protegra Inc.,01 April 2015,"$228,013.00"
Residential Care,Service Contract,Public Request for Proposals,Arviat,Family Services,5788847 Manitoba Inc. o/a Gloria's Place,01 April 2020,"$228,125.00"
Residential Care,Consulting,Public Request for Proposals,Iqaluit,Family Services,March of Dimes Canada,11 June 2018,"$228,617.00"
Residential Care,Consulting,Public Request for Proposals,Qikiqtaaluk Region,Family Services,Sinclair Children's Residence Inc.,01 April 2017,"$228,794.40"
Specialized Residential Care,Service Contract,Extension,Rankin Inlet,Family Services,Bairn Croft Residential Services Inc.,01 April 2013,"$228,812.00"
Specialized Residential Care,Consulting,Public Request for Proposals,Coral Harbour,Family Services,Bairn Croft Residential Services Inc.,24 July 2016,"$229,039.58"
Residential Care,Service Contract,Public Request for Proposals,Kinngait,Family Services,Bairn Croft Residential Services Inc.,01 November 2014,"$229,301.00"
Residential Care,Service Contract,Sole Source,Baker Lake,Family Services,Protegra Inc.,01 April 2015,"$229,981.00"
Decision Making Component,Consulting,Sole Source,Nunavut Territory,Family Services,National Council on Crime & Delinquency,01 March 2018,"$230,230.00"
Database Development,Service Contract,Public Request for Proposals,Other,Family Services,Core Solutions Software Inc.,01 April 2013,"$230,320.50"
Specialized Residential Care,Consulting,Sole Source,Baker Lake,Family Services,Protegra Inc.,01 April 2016,"$230,578.85"
Residential Care,Service Contract,Public Request for Proposals,Rankin Inlet,Family Services,Protegra Inc.,01 April 2014,"$230,625.25"
Residential Care,Service Contract,Sole Source,Iqaluit,Family Services,I Have a Chance Support Services Ltd.,01 April 2015,"$230,925.00"
Specialized Residential Care,Consulting,Public Request for Proposals,Arviat,Family Services,Bairn Croft Residential Services Inc.,01 April 2016,"$231,681.70"
Specialized Residential Care,Service Contract,Extension,Baker Lake,Family Services,Protegra Inc.,01 April 2013,"$231,859.00"
Residential Care,Consulting,Sole Source,Kugaaruk,Family Services,Protegra Inc.,01 April 2016,"$232,193.32"
Specialized Residential Care,Service Contract,Extension,Kugluktuk,Family Services,I Have a Chance Support Services Ltd.,01 April 2013,"$232,540.00"
Guardianship,Service Contract,Public Request for Proposals,Gjoa Haven,Family Services,Independent Advocacy 2010 Inc.,01 April 2014,"$232,866.00"
Guardianship,Service Contract,Public Request for Proposals,Cambridge Bay,Family Services,Independent Advocacy 2010 Inc.,01 April 2014,"$232,866.00"
Residential Care Treatment,Consulting,Public Request for Proposals,Iqaluit,Family Services,Bairn Croft Residential Services Inc.,01 April 2016,"$233,563.10"
Specialized Residential Treatment,Service Contract,Extension,Cambridge Bay,Family Services,Quest Support Services Ltd,01 April 2013,"$234,104.00"
Specialized Residential Care Treatment,Consulting,Public Request for Proposals,Rankin Inlet,Family Services,Bairn Croft Residential Services Inc.,01 April 2016,"$234,163.10"
Residential Care Treatment,Consulting,Public Request for Proposals,Iqaluit,Family Services,I Have a Chance Support Services Ltd.,01 April 2016,"$234,379.20"
Residential Care,Consulting,Public Request for Proposals,Rankin Inlet,Family Services,Bairn Croft Residential Services Inc.,01 April 2015,"$234,692.00"
Residential Care,Service Contract,Sole Source,Cambridge Bay,Family Services,YWCA Edmonton,01 April 2019,"$235,054.35"
Residential Care,Service Contract,Sole Source,Igloolik,Family Services,Partners in Parenting Inc.,01 April 2020,"$235,165.90"
Residential Care,Service Contract,Sole Source,Arviat,Family Services,Bairn Croft Residential Services Inc.,01 April 2020,"$235,181.70"
Residential Care,Service Contract,Sole Source,Arviat,Family Services,Bairn Croft Residential Services Inc.,01 April 2020,"$235,181.70"
Specialized Residential Care,Service Contract,Public Request for Proposals,Kugluktuk,Family Services,Ranch Ehrlo Society,01 April 2013,"$235,425.00"
Specialized Residential Care,Service Contract,Public Request for Proposals,Kugluktuk,Family Services,Ranch Ehrlo Society,01 April 2013,"$235,425.00"
Residential Care,Service Contract,Public Request for Proposals,Pond Inlet,Family Services,I Have A Chance Support Services Ltd.,01 April 2020,"$235,585.55"
Residential Care,Service Contract,Sole Source,Iqaluit,Family Services,Bairn Croft Residential Services Inc.,01 April 2020,"$235,681.70"
Specialized Residential Care Treatment,Consulting,Sole Source,Rankin Inlet,Family Services,Protegra Inc.,01 April 2016,"$236,125.35"
Residential Care,Consulting,Public Request for Proposals,Iqaluit,Family Services,Bairn Croft Residential Services Inc.,01 April 2015,"$236,692.00"
Vehicles,Purchase Order,Public Request for Proposals,Nunavut Territory,Family Services,R.L. Hanson Construction Ltd.,30 June 2015,"$237,160.50"
Residential Care,Service Contract,Sole Source,Naujaat,Family Services,Protegra Inc.,01 April 2015,"$237,219.00"
Residential Care,Service Contract,Sole Source,Pond Inlet,Family Services,I Have a Chance Support Services Ltd.,13 March 2019,"$237,277.62"
Residential Care,Consulting,Public Request for Proposals,Iqaluit,Family Services,I Have A Chance Support Services Ltd.,01 April 2017,"$237,826.65"
Residential Care,Consulting,Sole Source,Iqaluit,Family Services,I Have a Chance Support Services Ltd.,01 April 2018,"$238,604.10"
Operation and Management of Elders Home,Service Contract,Extension,Baker Lake,Family Services,Baker Lake Hospice Society,01 July 2013,"$238,710.00"
Residential Care,Service Contract,Sole Source,Iqaluit,Family Services,I Have a Chance Support Services Ltd.,01 April 2019,"$239,174.44"
Specialized Residential Care Treatment,Consulting,Sole Source,Arviat,Family Services,Protegra Inc.,01 April 2016,"$239,902.68"
Residential Care,Service Contract,Public Request for Proposals,Arviat,Family Services,Protegra Inc.,01 April 2014,"$239,983.85"
Residential Care,Service Contract,Sole Source,Arviat,Family Services,Protegra Inc.,01 April 2015,"$240,566.00"
Residential Care,Service Contract,Sole Source,Arviat,Family Services,Bairn Croft Residential Services Inc.,01 April 2020,"$240,585.30"
Residential Care,Service Contract,Public Request for Proposals,Baker Lake,Family Services,Protegra Inc.,01 April 2014,"$240,980.30"
Residential Care,Service Contract,Public Request for Proposals,Cambridge Bay,Family Services,Quest Support Services Inc.,01 April 2014,"$240,995.00"
Residential Care,Service Contract,Sole Source,Iqaluit,Family Services,Bairn Croft Residential Services Inc.,01 April 2020,"$241,681.70"
Residential Care,Service Contract,Sole Source,Gjoa Haven,Family Services,Parkland Community Living & Support Services,01 April 2015,"$242,885.00"
Residential Care,Consulting,Public Request for Proposals,Iqaluit,Family Services,Bairn Croft Residential Services Inc.,01 April 2016,"$243,660.46"
Residential Care Treatment,Consulting,Public Request for Proposals,Iqaluit,Family Services,Bairn Croft Residential Services Inc.,01 April 2016,"$243,874.10"
Residential Care,Consulting,Public Request for Proposals,Gjoa Haven,Family Services,Independent Advocacy 2010 Inc.,01 April 2016,"$245,075.94"
Residential Care,Consulting,Public Request for Proposals,Cambridge Bay,Family Services,Independent Advocacy 2010 Inc.,01 April 2016,"$245,075.94"
Residential Care,Service Contract,Public Request for Proposals,Rankin Inlet,Family Services,Protegra Inc.,01 April 2014,"$245,867.65"
Specialized Care Treatment,Consulting,Sole Source,Rankin Inlet,Family Services,Protegra Inc.,01 April 2016,"$246,074.55"
Residential Care,Consulting,Public Request for Proposals,Iqaluit,Family Services,Bairn Croft Residential Services Inc.,01 April 2015,"$246,403.00"
Residential Care,Consulting,Public Request for Proposals,Gjoa Haven,Family Services,Independent Advocacy 2010 Inc.,01 April 2018,"$246,610.96"
Residential Care,Consulting,Public Request for Proposals,Cambridge Bay,Family Services,Independent Advocacy 2010 Inc.,01 April 2018,"$246,610.96"
Residential Care,Service Contract,Sole Source,Cambridge Bay,Family Services,Independent Advocacy 2010 Inc.,01 April 2015,"$246,698.00"
Residential Care,Service Contract,Sole Source,Cambridge Bay,Family Services,Independent Advocacy 2010 Inc.,01 April 2015,"$246,968.00"
Residential Care,Service Contract,Public Request for Proposals,Kugluktuk,Family Services,Ranch Ehrlo Society,01 April 2014,"$247,105.00"
Residential Care,Service Contract,Public Request for Proposals,Kugluktuk,Family Services,Ranch Ehrlo Society,01 April 2014,"$247,105.00"
Residential Care,Service Contract,Sole Source,Rankin Inlet,Family Services,Protegra Inc.,01 April 2015,"$247,368.00"
Residential Care,Consulting,Public Request for Proposals,Iqaluit,Family Services,Independent Advocacy 2010 Inc.,01 April 2017,"$247,735.00"
Specialized Residential Care,Consulting,Public Request for Proposals,Coral Harbour,Family Services,Independent Advocacy 2010 Inc.,01 April 2017,"$247,985.00"
Pre-Employment Training,Consulting,Public Request for Proposals,Nunavut Territory,Family Services,Performance Management Consultants,28 June 2018,"$248,170.00"
Pre-Employment Training to Nunavut Youth,Consulting,Public Request for Proposals,Nunavut Territory,Family Services,Performance Management Consultants,28 June 2018,"$248,170.00"
Residential Care,Service Contract,Sole Source,Gjoa Haven,Family Services,Parkland Community Living & Support Services,01 April 2015,"$248,211.00"
Guardianship Assessments,Consulting,Public Request for Proposals,Nunavut Territory,Family Services,"Stirpe, Stones and Associates",01 April 2018,"$250,000.00"
Guardianship Assessments,Consulting,Public Request for Proposals,Nunavut Territory,Family Services,"Stirpe, Stones and Associates",01 April 2019,"$250,000.00"
Residential Care,Service Contract,Sole Source,Gjoa Haven,Family Services,Bayfield Treatment Centres,01 April 2020,"$250,559.30"
Residential Care,Consulting,Public Request for Proposals,Iqaluit,Family Services,March of Dimes Canada,01 April 2016,"$250,596.00"
Residential Care,Consulting,Sole Source,Gjoa Haven,Family Services,Parkland Community Living & Supports Society,01 April 2016,"$251,098.00"
Vehicles,Purchase Order,Public Request for Proposals,Nunavut Territory,Family Services,5063 Nunavut Ltd.,18 July 2014,"$251,391.00"
Career Development,Service Contract,Public Request for Proposals,Iqaluit,Family Services,Inhabit Education Inc.,11 August 2020,"$252,330.00"
Specialized Programming and Treatment,Consulting,Public Request for Proposals,Kugluktuk,Family Services,Ranch Ehrlo Society,01 April 2016,"$254,405.00"
Specialized Programming and Treatment,Consulting,Public Request for Proposals,Kugluktuk,Family Services,Ranch Ehrlo Society,01 April 2016,"$254,405.00"
Residential Care,Service Contract,Sole Source,Kugluktuk,Family Services,Ranch Ehrlo Society,01 April 2015,"$255,102.00"
Residential Care,Service Contract,Sole Source,Kugluktuk,Family Services,Ranch Ehrlo Society,01 April 2015,"$255,102.00"
Residential Care,Consulting,Sole Source,Gjoa Haven,Family Services,Parkland Community Living & Supports Society,01 April 2016,"$255,190.00"
Residential Care,Service Contract,Sole Source,Kugaaruk,Family Services,Connor Homes,27 December 2019,"$255,360.00"
Residential Care,Consulting,Public Request for Proposals,Igloolik,Family Services,Options Youth (Ontario) Inc.,01 April 2016,"$255,412.00"
Residential Care,Consulting,Sole Source,Gjoa Haven,Family Services,Parkland Community Living & Supports Society,01 April 2017,"$255,874.00"
Training to People with Disabilities,Consulting,Public Request for Proposals,Nunavut Territory,Family Services,Performance Management Consultants,28 June 2018,"$257,370.00"
12 Week Pre-Employment Training,Consulting,Public Request for Proposals,Nunavut Territory,Family Services,Performance Management Consultants,28 June 2018,"$257,715.00"
Residential Care,Service Contract,Public Request for Proposals,Iqaluit,Family Services,March of Dimes Canada,01 April 2020,"$258,120.00"
Residential Care PMB (Rankin Inlet),Service Contract,Extension,Rankin Inlet,Family Services,Barin Croft Residential Care Inc,01 April 2014,"$258,979.00"
Specialized Residential Care,Service Contract,Extension,Taloyoak,Family Services,Protegra Inc.,01 April 2013,"$259,329.00"
Residential Care,Consulting,Sole Source,Gjoa Haven,Family Services,Parkland Community Living & Supports Society,01 April 2017,"$259,570.00"
Residential Care,Service Contract,Sole Source,Gjoa Haven,Family Services,Parkland Community Living & Supports Society,01 April 2018,"$259,650.00"
Residential Care,Service Contract,Public Request for Proposals,Gjoa Haven,Family Services,Independent Advocacy 2010 Inc.,01 April 2020,"$259,960.40"
Residential Care,Service Contract,Public Request for Proposals,Cambridge Bay,Family Services,Independent Advocacy 2010 Inc.,01 April 2020,"$259,960.40"
Residential Care,Service Contract,Sole Source,Gjoa Haven,Family Services,Parkland Community Living & Supports Society,01 April 2018,"$262,588.00"
Residential Care,Service Contract,Public Request for Proposals,Qikiqtarjuaq,Family Services,I Have a Chance Support Services Ltd.,01 April 2014,"$264,751.00"
Residential Care,Service Contract,Public Request for Proposals,Gjoa Haven,Family Services,Protegra Inc.,01 April 2014,"$267,158.00"
Residential Care,Service Contract,Sole Source,Gjoa Haven,Family Services,Protegra Inc.,01 April 2015,"$267,710.00"
Pre-Employment Training,Consulting,Public Request for Proposals,Nunavut Territory,Family Services,Performance Management Consultants,28 June 2018,"$267,720.00"
Residential Care,Service Contract,Public Request for Proposals,Iqaluit,Family Services,Bairn Croft Residential Services Inc.,01 April 2014,"$268,120.00"
Residential Care,Service Contract,Public Request for Proposals,Iqaluit,Family Services,Bairn Croft Residential Services Inc,01 April 2014,"$268,120.00"
Residential Care,Service Contract,Sole Source,Qikiqtarjuaq,Family Services,I Have a Chance Support Services Ltd.,01 April 2015,"$268,825.00"
Residential Care,Service Contract,Sole Source,Kinngait,Family Services,Protegra Inc.,01 April 2015,"$269,781.00"
Residential Care,Consulting,Public Request for Proposals,Gjoa Haven,Family Services,I Have a Chance Support Services Ltd.,01 November 2016,"$270,302.31"
Residential Care Children's Group Home,Service Contract,Extension,Cambridge Bay,Family Services,Atlantic Youth Consulting,01 April 2014,"$270,682.00"
Specialized Residential Care,Service Contract,Extension,Qikiqtarjuaq,Family Services,I Have a Chance Support Services Ltd.,01 April 2013,"$270,818.00"
Residential Care,Service Contract,Sole Source,Kugluktuk,Family Services,Bairn Croft Residential Services Inc.,01 October 2020,"$270,963.19"
Residential Care,Consulting,Sole Source,Cambridge Bay,Family Services,Maryhomes Inc.,01 April 2016,"$271,465.04"
Residential Care,Consulting,Sole Source,Cambridge Bay,Family Services,Maryhomes Inc.,01 April 2017,"$272,085.04"
Specialized Residential Care,Consulting,Sole Source,Baker Lake,Family Services,Broken Arrow Residential Treatment Services,27 May 2017,"$273,140.00"
Supported Independent Living Program,Service Contract,Extension,Rankin Inlet,Family Services,Municipality of Rankin Inlet,01 April 2013,"$273,556.00"
Residential Care,Service Contract,Public Request for Proposals,Kugluktuk,Family Services,March of Dimes Canada,01 April 2020,"$275,980.00"
Residential Care,Consulting,Public Request for Proposals,Kinngait,Family Services,Bairn Croft Residential Services Inc.,01 April 2015,"$277,833.00"
Residential Care,Consulting,Sole Source,Gjoa Haven,Family Services,Protegra Inc.,01 April 2016,"$278,772.10"
